, Date,"Agric., Forestry, Fishing & Hunting",Mining/Quarrying,Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transp. & Warehousing,Information,Finance & Insurance,Real Estate,Prof. & Tech. Services,Management of Companies,Admin. & Support Svces.,Educational Services,Health Care & Soc Assistance,"Arts, Ent., & Recreation",Accommodation & Food Services,Other Services,Self Employed,Public Administration,Other/Unknown,Total
,1/5/19,532,35,71,"7,366","3,383","1,421","3,486","2,767",599,"1,123",574,"1,561",373,"6,178","1,510","3,733","1,407","3,727","1,274",134,705,"3,025","44,984"
,1/12/19,593,41,71,"7,359","3,063","1,508","3,662","1,500",612,"1,139",596,"1,548",378,"6,617","1,391","3,685","1,525","3,621","1,248",137,714,"3,037","44,045"
,1/19/19,594,46,69,"7,420","3,088","1,546","3,691","1,467",596,"1,169",596,"1,515",378,"6,710","1,340","3,695","1,548","3,341","1,258",140,700,"2,982","43,889"
,1/26/19,592,64,63,"7,961","3,157","1,555","3,745","1,436",605,"1,174",607,"1,528",373,"6,840","1,329","3,677","1,568","2,796","1,244",150,603,"2,929","43,996"
,2/2/19,596,67,53,"7,976","3,106","1,573","3,777","1,388",596,"1,175",607,"1,509",365,"6,929","1,292","3,674","1,586","2,666","1,252",146,570,"2,908","43,811"
,2/9/19,592,68,53,"7,932","3,141","1,600","3,863","1,423",584,"1,195",602,"1,529",372,"6,984","1,275","3,679","1,582","2,679","1,276",149,556,"2,907","44,041"
,2/16/19,576,68,52,"7,968","3,149","1,599","3,847","1,922",593,"1,207",605,"1,543",371,"6,971","1,286","3,672","1,582","2,710","1,272",138,561,"2,931","44,623"
,2/23/19,545,71,51,"7,957","3,141","1,616","3,851","1,986",589,"1,218",607,"1,559",379,"6,932","1,270","3,662","1,586","2,721","1,249",145,559,"2,881","44,575"
,3/2/19,506,72,50,"7,834","3,149","1,579","3,800","1,441",569,"1,196",593,"1,511",382,"6,840","1,200","3,588","1,533","2,702","1,227",136,541,"2,760","43,209"
,3/9/19,455,71,46,"7,872","3,191","1,514","3,805","1,469",566,"1,241",588,"1,517",384,"6,815","1,196","3,576","1,459","2,991","1,226",135,536,"2,673","43,326"
,3/16/19,409,68,48,"7,500","3,094","1,474","3,742","1,452",557,"1,250",590,"1,504",380,"6,681","1,181","3,575","1,378","3,297","1,221",134,531,"2,658","42,724"
,3/23/19,345,64,44,"6,895","3,076","1,439","3,624","1,417",554,"1,230",589,"1,477",368,"6,311","1,142","3,525","1,238","3,090","1,195",136,505,"2,589","40,853"
,3/30/19,295,59,44,"6,174","3,013","1,415","3,507","1,311",570,"1,215",565,"1,445",375,"5,495","1,075","3,478","1,085","2,493","1,167",134,464,"2,445","37,824"
,4/6/19,235,44,40,"5,196","2,967","1,359","3,289","1,696",601,"1,187",539,"1,410",378,"4,557","1,043","3,462",851,"2,433","1,109",131,431,"2,360","35,318"
,4/13/19,197,33,41,"4,479","2,936","1,333","3,866","4,025",630,"1,185",518,"1,461",384,"4,105","1,144","3,588",722,"2,803","1,128",132,441,"2,376","37,527"
,4/20/19,178,23,39,"3,973","3,019","1,328","6,158","4,471",640,"1,210",511,"1,501",387,"3,824","1,303","3,681",656,"2,927","1,146",136,430,"2,430","39,971"
,4/27/19,155,19,39,"3,483","3,050","1,288","3,688","1,393",631,"1,188",491,"1,470",378,"3,575","1,014","3,485",549,"2,231","1,038",144,356,"2,257","31,922"
