lastupdatedate,town_no,town,towntotalcases,townconfirmedcases,townprobablecases,towncaserate,towntotaldeaths,townconfirmeddeaths,townprobabledeaths,peopletested,ratetested100k,numberoftests,numberofpositives,numberofnegatives,numberofindeterminates
2020-03-24T04:00:00Z,125,Sharon,1,,,,0,,,,,,,,
2020-03-24T04:00:00Z,25,Cheshire,0,,,,0,,,,,,,,
2020-03-25T04:00:00Z,111,Plymouth,1,,,,0,,,,,,,,
2020-03-25T04:00:00Z,112,Pomfret,0,,,,0,,,,,,,,
2020-03-25T04:00:00Z,113,Portland,2,,,,0,,,,,,,,
2020-03-25T04:00:00Z,114,Preston,0,,,,0,,,,,,,,
2020-03-25T04:00:00Z,115,Prospect,1,,,,0,,,,,,,,
2020-03-25T04:00:00Z,116,Putnam,0,,,,0,,,,,,,,
2020-03-25T04:00:00Z,117,Redding,6,,,,0,,,,,,,,
2020-03-25T04:00:00Z,15,Bridgeport,27,,,,0,,,,,,,,
2020-03-26T04:00:00Z,141,Thompson,0,,,,0,,,,,,,,
2020-03-26T04:00:00Z,75,Lyme,1,,,,0,,,,,,,,
2020-03-24T04:00:00Z,110,Plainville,1,,,,0,,,,,,,,
2020-03-24T04:00:00Z,79,Marlborough,0,,,,0,,,,,,,,
2020-03-24T04:00:00Z,119,Rocky Hill,8,,,,0,,,,,,,,
2020-03-24T04:00:00Z,96,New Milford,2,,,,0,,,,,,,,
2020-03-24T04:00:00Z,4,Avon,2,,,,0,,,,,,,,
2020-03-24T04:00:00Z,77,Manchester,5,,,,0,,,,,,,,
2020-03-24T04:00:00Z,20,Burlington,1,,,,0,,,,,,,,
2020-03-24T04:00:00Z,64,Hartford,14,,,,0,,,,,,,,
2020-03-24T04:00:00Z,12,Bolton,1,,,,0,,,,,,,,
2020-03-24T04:00:00Z,155,West Hartford,6,,,,0,,,,,,,,
2020-03-24T04:00:00Z,43,East Hartford,2,,,,0,,,,,,,,
2020-03-24T04:00:00Z,66,Harwinton,2,,,,0,,,,,,,,
2020-03-24T04:00:00Z,74,Litchfield,2,,,,0,,,,,,,,
2020-03-24T04:00:00Z,68,Kent,1,,,,0,,,,,,,,
2020-03-24T04:00:00Z,149,Warren,0,,,,0,,,,,,,,
2020-03-24T04:00:00Z,136,Sterling,0,,,,0,,,,,,,,
2020-03-24T04:00:00Z,52,Farmington,5,,,,0,,,,,,,,
2020-03-24T04:00:00Z,109,Plainfield,0,,,,0,,,,,,,,
2020-03-24T04:00:00Z,1,Andover,0,,,,0,,,,,,,,
2020-03-24T04:00:00Z,22,Canterbury,0,,,,0,,,,,,,,
2020-03-24T04:00:00Z,153,Watertown,1,,,,0,,,,,,,,
2020-03-24T04:00:00Z,10,Bethlehem,3,,,,0,,,,,,,,
2020-03-24T04:00:00Z,127,Sherman,1,,,,0,,,,,,,,
2020-03-24T04:00:00Z,53,Franklin,0,,,,0,,,,,,,,
2020-03-24T04:00:00Z,133,Sprague,0,,,,0,,,,,,,,
2020-03-24T04:00:00Z,131,Southington,6,,,,0,,,,,,,,
2020-03-24T04:00:00Z,7,Berlin,2,,,,0,,,,,,,,
