week_ending_date,weekly_applications_received_all,weekly_applications_received_cash_assistance,weekly_applications_received_medical_assistance,weekly_applications_received_snap,daily_average_applications,daily_average_applications_1,daily_average_applications_2,daily_average_applications_3,percentage_of_weekly,percentage_of_weekly_1,percentage_of_weekly_2,weekly_percent_change_compared,weekly_percent_change_compared_1,weekly_percent_change_compared_2,weekly_percent_change_compared_3
2020-12-13T05:00:00Z,5250,1287,1949,3389,750,184,278,484,0.25,0.37,0.65,1.13,1.75,0.46,2.12
2020-12-06T05:00:00Z,5272,1076,1992,3487,753,154,285,498,0.2,0.38,0.66,1.14,1.3,0.49,2.21
2020-11-29T05:00:00Z,3345,806,1190,2181,478,115,170,312,0.24,0.36,0.65,0.36,0.72,-0.11,1.01
2020-11-22T05:00:00Z,5515,1111,1879,3947,788,159,268,564,0.2,0.34,0.72,1.24,1.37,0.4,2.63
2020-11-15T05:00:00Z,4646,1090,1692,3049,664,156,242,436,0.23,0.36,0.66,0.89,1.33,0.26,1.81
2020-11-08T05:00:00Z,4476,976,1536,3112,639,139,219,445,0.22,0.34,0.7,0.82,1.09,0.15,1.87
2020-11-01T04:00:00Z,4679,1063,1820,3057,668,152,260,437,0.23,0.39,0.65,0.9,1.27,0.36,1.82
2020-10-25T04:00:00Z,4469,991,1712,2969,638,142,245,424,0.22,0.38,0.66,0.81,1.12,0.28,1.73
2020-10-18T04:00:00Z,3992,858,1488,2603,570,123,213,372,0.21,0.37,0.65,0.62,0.83,0.11,1.4
2020-10-11T04:00:00Z,4625,1053,1691,3220,661,150,242,460,0.23,0.37,0.7,0.88,1.25,0.26,1.97
2020-10-04T04:00:00Z,4675,1180,1768,2969,668,169,253,424,0.25,0.38,0.64,0.9,1.52,0.32,1.73
2020-09-27T04:00:00Z,3408,699,1211,2355,487,100,173,336,0.21,0.36,0.69,0.38,0.49,-0.09,1.17
2020-09-20T04:00:00Z,4677,1033,1626,3153,668,148,232,450,0.22,0.35,0.67,0.9,1.21,0.22,1.9
2020-09-13T04:00:00Z,3715,801,1265,2615,531,114,181,374,0.22,0.34,0.7,0.51,0.71,-0.05,1.41
2020-09-06T04:00:00Z,4594,981,1419,3234,656,140,203,462,0.21,0.31,0.7,0.86,1.1,0.06,1.98
2020-08-30T04:00:00Z,4399,930,1296,3167,628,133,185,452,0.21,0.29,0.72,0.78,0.99,-0.03,1.92
2020-08-23T04:00:00Z,4308,872,1492,2969,615,125,213,424,0.2,0.35,0.69,0.75,0.86,0.12,1.73
2020-08-16T04:00:00Z,4208,852,1415,2916,601,122,202,417,0.2,0.34,0.69,0.71,0.82,0.06,1.69
2020-08-09T04:00:00Z,4115,891,1263,2955,588,127,180,422,0.22,0.31,0.72,0.67,0.9,-0.06,1.72
2020-08-02T04:00:00Z,3056,664,1199,1967,437,95,171,281,0.22,0.39,0.64,0.24,0.42,-0.1,0.81
2020-07-26T04:00:00Z,3557,799,1626,2042,508,114,232,292,0.22,0.46,0.57,0.44,0.71,0.22,0.88
2020-07-19T04:00:00Z,2972,628,1259,1774,425,90,180,253,0.21,0.42,0.6,0.21,0.34,-0.06,0.63
2020-07-12T04:00:00Z,3263,708,1342,1946,466,101,192,278,0.22,0.41,0.6,0.32,0.51,0,0.79
2020-07-05T04:00:00Z,2631,492,1078,1614,376,70,154,231,0.19,0.41,0.61,0.07,0.05,-0.19,0.49
2020-06-28T04:00:00Z,2846,563,1247,1620,407,80,178,231,0.2,0.44,0.57,0.15,0.2,-0.07,0.49
2020-06-21T04:00:00Z,3039,614,1382,1664,434,88,197,238,0.2,0.45,0.55,0.23,0.31,0.03,0.53
2020-06-14T04:00:00Z,3422,735,1229,2114,489,105,176,302,0.21,0.36,0.62,0.39,0.57,-0.08,0.95
2020-06-07T04:00:00Z,3349,648,1279,2028,478,93,183,290,0.19,0.38,0.61,0.36,0.38,-0.04,0.87
2020-05-31T04:00:00Z,3041,546,1000,2065,434,78,143,295,0.18,0.33,0.68,0.23,0.17,-0.25,0.9
2020-05-24T04:00:00Z,3299,643,1139,2120,471,92,163,303,0.19,0.35,0.64,0.34,0.37,-0.15,0.95
2020-05-17T04:00:00Z,3702,688,1152,2591,529,98,165,370,0.19,0.31,0.7,0.5,0.47,-0.14,1.39
2020-05-10T04:00:00Z,4381,878,1019,3106,626,125,146,444,0.2,0.23,0.71,0.78,0.88,-0.24,1.86
2020-05-03T04:00:00Z,5217,995,1318,3862,745,142,188,552,0.19,0.25,0.74,1.12,1.13,-0.01,2.56
2020-04-26T04:00:00Z,5681,1121,1239,4358,812,160,177,623,0.2,0.22,0.77,1.3,1.4,-0.07,3.01
2020-04-19T04:00:00Z,5142,941,1349,3768,735,134,193,538,0.18,0.26,0.73,1.09,1.01,0.01,2.47
2020-04-12T04:00:00Z,3940,690,926,3044,563,99,132,435,0.18,0.24,0.77,0.6,0.47,-0.31,1.8
2020-04-05T04:00:00Z,5987,1287,1344,4694,855,184,192,671,0.21,0.22,0.78,1.43,1.75,0,3.32
2020-03-29T04:00:00Z,4821,1229,1336,3301,689,176,191,472,0.25,0.28,0.68,0.96,1.63,0,2.04
2020-03-22T04:00:00Z,4336,950,1328,3044,619,136,190,435,0.22,0.31,0.7,0.76,1.03,-0.01,1.8
2020-03-15T04:00:00Z,2424,472,1309,1063,346,67,187,152,0.19,0.54,0.44,,,,
2020-03-08T05:00:00Z,2448,499,1307,1095,350,71,187,156,0.2,0.53,0.45,,,,
2020-03-01T05:00:00Z,2579,502,1457,992,368,72,208,142,0.19,0.56,0.38,,,,
2020-02-23T05:00:00Z,2172,334,1233,967,310,48,176,138,0.15,0.57,0.45,,,,
2020-02-16T05:00:00Z,2360,467,1254,1055,337,67,179,151,0.2,0.53,0.45,,,,
2020-02-09T05:00:00Z,2805,534,1466,1343,401,76,209,192,0.19,0.52,0.48,,,,
